source_row_number,severity,issue_type,column_name,column_index,value,message
24,warning,invalid_ar_date,VISADO,44,"relevamiento de dos unidades de vivienda de alquiler, cada una de dos dormitorios, baño, cocina comedor estar, lavadero, parrilla, BAJO ORD 27/10, art 1, punto 2, inc 2 y 3, Infraccion Ord 53/07, Ord 130/21, art 20, Anexo V, Infraccion art 5, 27, 37, 144, 151, 176, 178, 202, 233, 247 del CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
25,warning,invalid_ar_date,VISADO,44,"vivienda unifamiliar existente con planos, a cosntruir quincho con parrilla, piscina al fondo, BAJO ORD 27/10, art 1, punto 2, inc 3 (existente), Infraccion ord 130/22, art 20, Anexo V-Zona Urbana",Fecha de visado invalida para formato AR (dd/mm/aaaa).
26,warning,invalid_ar_date,VISADO,44,"vivenda unidfamiliar a construir en PB, con piscina, dos dormitorios, estar comedor cocina, cochera semicubiert apara dos vehiculos, quincho, baño, lavadero",Fecha de visado invalida para formato AR (dd/mm/aaaa).
27,warning,invalid_ar_date,VISADO,44,"vivienda unifamiliar PRO.CRE.AR., dos vdormitorios, baño, cocina comedor, sin cochera, relevamiento, BAJO ORD 27/10, art 1, punto 2, inc 2, Infraccion art 5, 27, 37, 178 del CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
28,warning,invalid_ar_date,VISADO,44,cartel del ACA,Fecha de visado invalida para formato AR (dd/mm/aaaa).
29,warning,invalid_ar_date,VISADO,44,"galpòn a construir, sòlo PB con un toilete",Fecha de visado invalida para formato AR (dd/mm/aaaa).
30,warning,invalid_ar_date,VISADO,44,"relevamiento de tres unidades de vivienda, la ubicada al frente de tres dormitorios, cocina comedor, estar, baño compartimentado, baño, segunda cocina al fondo, lavadero, las otras dos viviendas son de dos dormitorios, baño, cocina comedor, sin espacios para cocheras. BAJO ORD 27/10, art 1, punto 2, inc 2, Infraccion art 5, 27, 37, 17,8 179, 181, 182, 201, 202, 223, 232, 233 del CE, Infraccion ORd 56/07, art 3, ORd 53/07",Fecha de visado invalida para formato AR (dd/mm/aaaa).
31,warning,invalid_ar_date,VISADO,44,"vivienda unifamiliar a construir, tres dormitorios, cocina comedor estar, acceso semicubierto",Fecha de visado invalida para formato AR (dd/mm/aaaa).
32,warning,invalid_ar_date,VISADO,44,"relevamiento de piscina y monoambientes, 3 unidades, BAJO ORD 27/10, art 1, punto 2, inc 2 y 3, cocheras en zona de ampliacion de calle y retiro, Infraccion Ord 53/07, Ord 130/21, art 21, Anexo V, Infraccion art 5, 27, 37, 202, 233, 254 del CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
33,warning,invalid_ar_date,VISADO,44,"relevamiento de grupo de viviendas para alquiler turistico, BAJO ORD 27/10, art 1, punto 2 y 3, Infraccion Ord 130/21, art 21, retiro zona, Infraccion art 5, 27, 37, 144, 151, 176, 178, 214 del CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
35,warning,invalid_ar_date,VISADO,44,"amploiación edificio lindero, demolición de vivienda existente y cinco nuevas unidades a cosntruir",Fecha de visado invalida para formato AR (dd/mm/aaaa).
36,warning,invalid_ar_date,VISADO,44,"vivienda unifamiliar a construir,un dormitorio en PA, baño en PA, en PB estar comedor cocina, toilete",Fecha de visado invalida para formato AR (dd/mm/aaaa).
37,warning,invalid_ar_date,VISADO,44,"vivienda unifamilliar a construir, demoliciòn de vivienda existente y galpòn al frente sobre la via publica, vivienda nueva con tres dormitorios en PA, uno en suite con vestidor y baño compartimentado, baño completo, zona de escritorio / paso, en PB cochera semicubierta al frente, estudio con acceso independiente, baño, cocina desayunador comedor estar, semicubierto al fondo galerìa quincho con parrilla y lavadero",Fecha de visado invalida para formato AR (dd/mm/aaaa).
38,warning,invalid_ar_date,VISADO,44,"vivienda unifamiliar con planos visados, a construir quincho al fondo",Fecha de visado invalida para formato AR (dd/mm/aaaa).
39,warning,invalid_ar_date,VISADO,44,"relevamiento de vivienda unifamiliar y galpón depósito de helados, vivienda al frentede dos dormitorio, cocina comedor, estar, baño, BAJO ORD 27/10, art 1, punto 2, inc 2 y 3, Infraccion art 5, 27, 37, 144, 151, 176, 178, 179, 202, 226, 247 del CE, Ord 130/22, art 20",Fecha de visado invalida para formato AR (dd/mm/aaaa).
40,warning,invalid_ar_date,VISADO,44,"vivienda unifamiliar a relevar, dos dormitorios, baño, cocina comedor estar, lavadero aparte, local comercial al frente con toilete, BAJO ORD 27/10, art 1, punto 2, ,inc 2 y 3, Infraccion Ord 130/22, art 20, Ord 53/07, 3, Art 5, 27, 37, 179, 201, 202, 232 del CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
41,warning,invalid_ar_date,VISADO,44,"tres unidades de vivienda a construir, de dos dormitorios, baño en PA y en PB cocina comedor estar, cochera semicubierta y toilette",Fecha de visado invalida para formato AR (dd/mm/aaaa).
42,warning,invalid_ar_date,VISADO,44,demolicion de vivienda unifamiliar,Fecha de visado invalida para formato AR (dd/mm/aaaa).
43,warning,invalid_ar_date,VISADO,44,"vivienda multifamiliar, un monoambiente, una de tres dormitorios, baño, cocina comedor, estar, cocheras semicubiertas, galeria semicubierta posterior con parrilla",Fecha de visado invalida para formato AR (dd/mm/aaaa).
44,warning,invalid_ar_date,VISADO,44,"demolicion vivienda existente, relevamiento de centro terapeutico sector salon, BAJO ORD 27/10, art 1, pùnto 2, inc 2, Infraccion art 5, 27,37 del CE, Ord 56/07, art 3, inc 2, sub inc 1",Fecha de visado invalida para formato AR (dd/mm/aaaa).
45,warning,invalid_ar_date,VISADO,44,"relevemiento de local comercial, baños separados por sexo  dos inodores y dos bachas, tres inodoros y dos bachas, local al frente separado con una pequeña mesada, BAJO ORD 27/10, art1, punto 2, inc 2, Infraccion art 5, 27, 37, 176, y 179 del CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
46,warning,invalid_ar_date,VISADO,44,vivienda unifamiliar a construir,Fecha de visado invalida para formato AR (dd/mm/aaaa).
47,warning,invalid_ar_date,VISADO,44,"vivienda unifamiliar a contruir, dos dormitorios, baño, cocina comedor, BAJO ORD 27/10, art 1, punto 2, inc 2, Infraccion Art 5, 27, 37, del CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
48,warning,invalid_ar_date,VISADO,44,"vivienda unifamiliar a contruir, tres dormitorios, uno en suite con vestidor y baño, baño completo compartimentado, cocina desayunador comedor diario, comedor estar, lavadero, galeria semicubierta con parrilla quincho, toilete, cocheras semicubiertas para dos vehiculos",Fecha de visado invalida para formato AR (dd/mm/aaaa).
49,warning,invalid_ar_date,VISADO,44,"relevamiento de vivienda unifamiliar de un dormitorio en PA, cocina comedor baño en PB, al fondo quincho cubierto con baño, BAJO ORD 27/10, art 1, punto 2, inc 2 y 3, Infraccion ORD 130/22, art 21, anexo V, C.E. 5, 27, 37, 144, 176, 181, 182, 202, 233, 247",Fecha de visado invalida para formato AR (dd/mm/aaaa).
50,warning,invalid_ar_date,VISADO,44,"relevamiento de galpón depósito con oficina, baño, BAJO ORD 27/10, ART 1, PUNTO 2, INC 2 Y 3, Infraccion Ord 56/07, art 3, inc 2, sub inc 1, CE art 5, 27, 37, 144, 151, 179, 202, 232, 233, 260, Ord 130/22, srt 20",Fecha de visado invalida para formato AR (dd/mm/aaaa).
51,warning,invalid_ar_date,VISADO,44,"seis unidades de vivienda de alquiler a construir, 4 de uhn dormitorio, baño, cocina comedor, dos monoambientes, cocheras descubiertas, BAJO ORD 27/10, art 1, punto 2, inc 2, Infraccion art 5, 27, 37, 144, 151, 176, 179, 202, 230 del CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
52,warning,invalid_ar_date,VISADO,44,quincho y piscina a consrtuir,Fecha de visado invalida para formato AR (dd/mm/aaaa).
53,warning,invalid_ar_date,VISADO,44,"plano conforme cuatro unidades de viienda de alquiler, dos dormitorios, cocina, comedor y baño en PB, las dos unidades centrales dormitorio, baño, cocina comedor en PB y dormitorio y baño en PA, BAJO ORD 27/10,art 1, punto 2, inc 2 y 3, Infraccion art 5, 27, 37, 176, 179, 202, 247, 236 del CE, Infraccion Ord 56/07, art 4, Ord 53/07, Ord 130/22, Art 21, Zona Periurbana, Anexo V",Fecha de visado invalida para formato AR (dd/mm/aaaa).
54,warning,invalid_ar_date,VISADO,44,"ampliación de vivienda unifamiliar con dos dormitorios, baño, cocina comedor, a ejecutar lavadero, baño, cocina, BAJO ORD 27/10, art 1, punto 1 y 2, Infraccion art 144, 151, 179, 214, 223, 232, 233, 236, 247 DEL CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
55,warning,invalid_ar_date,VISADO,44,"relevamiento de vivienda unifamiliar, un dormitorioan PA, cocina comedor estar, baño en PB, terreno en parte bajo cota, BAJO ORD 27/10, art 1, punto2, inc 2, Infraccionn art 5, 27, 37, 144, 151, 178, 179, 202, 227 del CE, Infracion ord 56/07, art 3, inc 2, sub inc 1",Fecha de visado invalida para formato AR (dd/mm/aaaa).
56,warning,invalid_ar_date,VISADO,44,"antena a construir, cabina de controles, BAJO ORD 27/10, art 1, punto 1, inc 3, Infraccion art 5, 27, 37 del CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
57,warning,invalid_ar_date,VISADO,44,"vivienda tipo alpina de madera existente al frente del lote y galpón al fondo, a construir en el centro del lote una vivienda de material, de tres dormitorios y baño en PA, cocina comedor , estar, baño y cochera semicubierta en PB, Bajo ord 27/10, art 1, punto 2, Infraccion art 5, 27, 37, 176, 178, 201, 227, 232 del CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
58,warning,invalid_ar_date,VISADO,44,"relevamiento de local comercial, restaurante ""Moment´s"", BAJO ORD 27/10, art 1, punto 2, inc 2, Infraccion Ord 130/22, art 19, Anexo V, Zona Centro, Infraccion art 5, 27, 37, 176, 179, 202, 227, 247 del CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
59,warning,invalid_ar_date,VISADO,44,"plano conforme a obra, vivienda unifamilliar, dos dormitorios, baño, dormitorio ppal en suite con baño, cocina comedor estar, cochera semicubierta, Bajo Ord 27/10, art 10, 27, 37 179, 187 del CE, Ord 50/07, (cochera en ventilacion de cocina)",Fecha de visado invalida para formato AR (dd/mm/aaaa).
60,warning,invalid_ar_date,VISADO,44,"relevamiento de vivienda unifamiliar, tres dormitorios, uno con baño, baño, cocina comedor estar, lavadero, cochera semicubierta, pileta al fondo con quincho, BAJO ORD 27/10, art 1, punto2, inc 2, Infraccionn art 5, 27, 37, 179, 233, 236 del CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
61,warning,invalid_ar_date,VISADO,44,"estudio profesional / local a construir, PB y PA, BAJO ORD 27/10, art 1, punto 2, inc 2 t 3, Infraccion art 5, 27, 37, del CE, Infraccion Ord 130/2022, art 20, Anexo V, Zona Urbana",Fecha de visado invalida para formato AR (dd/mm/aaaa).
62,warning,invalid_ar_date,VISADO,44,"BAJO ORD 27/10, art 1, punto 2 inc 2 y 3, Infraccion art 5, 27, 37, del CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
63,warning,invalid_ar_date,VISADO,44,"relevamiento de quincho al fondo, vivienda al frente existente declarada de dos dormitorios, baño, cocina comecor, cochera semicubierta la frente, BAJO ORD 27/10, art 1, punto 2, inc 2 y 3, Infracción art 5, 27, 37, 179, 202, 223, 233 del CE, Infraccion ORd 130/22, art 20, Ord 56/07, art 3",Fecha de visado invalida para formato AR (dd/mm/aaaa).
64,warning,invalid_ar_date,VISADO,44,"ampliación de vivienda unifamiliar, a construir tres dormitorios en PA, uno en suite con baño completo y vestidor, baño, en PB se declara la cochera semicubierta, BAJO ORD 27/10, art 1, punto 2, inc 2 y 3, art 1, inc 9, Infraccion Ord 130/22, art 20, Zona Urbana, Anexo V, Infraccion art 5, 27, 37, del CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
65,warning,invalid_ar_date,VISADO,44,"ampliación, deptos a cosntruir en PA,",Fecha de visado invalida para formato AR (dd/mm/aaaa).
66,warning,invalid_ar_date,VISADO,44,"relevamiento de dos unidades de vivienda, ambas de iguales caracteristicas, dos dormitorios, baño, cocina comedor, una en PB y otra en PA, BAJO ORD 27/10, art 1, punto 2, inc 2 y 3, Infraccion Ord 130/22, art 20, Zona Urbana, Ord 56/07, art 3, inc 2, sub inc 1, CE art 5, 27, 37, 144, 151, 178, 179, 202, 226, 232",Fecha de visado invalida para formato AR (dd/mm/aaaa).
67,warning,invalid_ar_date,VISADO,44,"vivienda unifamiliar a construir, planta baja cochera cubierta doble, cocina comedor estar, baño, semicubierto quincho con parrilla y bacha, en PA baño, hall paso distribuidor tres dormitorios, uno con vestidor y terraza",Fecha de visado invalida para formato AR (dd/mm/aaaa).
68,warning,invalid_ar_date,VISADO,44,"relevamiento de vivienda unifamiliar, dos dormitorios, escritorio, estar cocina comedor cocina, baño, lavadero, sotano y entrepiso, BAJO ORD 27/10, art 1, punto 2, inc 2, Infraccion art 5, 27, 37, 176, 179, 202, 223, 232, 233, 247 del CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
69,warning,invalid_ar_date,VISADO,44,"vivienda unifamiliar a construir, dos dormitorios uno con baño propio, baño, cocina comedor,",Fecha de visado invalida para formato AR (dd/mm/aaaa).
70,warning,invalid_ar_date,VISADO,44,"vivienda unifamiliar a construir, dos dormitorios, cada unno con su sanitario, baño completo, cocina comedor estar, galeria perimetral, cochera semicubierta",Fecha de visado invalida para formato AR (dd/mm/aaaa).
71,warning,invalid_ar_date,VISADO,44,"relevamiento de local comercial, panaderìa, BAJO ORD 27/10, art 1, punto 2, inc 2, Infraccion art 5, 27, 37, 176, 179, 181, 182, 202, 226, 230, 232 del CE (liquida solo administrativo, m2 menos que el antecedente)",Fecha de visado invalida para formato AR (dd/mm/aaaa).
72,warning,invalid_ar_date,VISADO,44,"vivienda unifamiliar a construir, dos dormitorios, uno con baño privado, baño, cocina comedor diario, estar, comedor, separado de la vivenda habitacion de servicio lavadero y baño.",Fecha de visado invalida para formato AR (dd/mm/aaaa).
73,warning,invalid_ar_date,VISADO,44,"siete unidades de vivieda a relevar, seis de ellas de  dos dormitorios, baño, cocina comedor, una de un dormitorio, baño cocina comedor estar, dos monoambientes a construir, baño, un espacio para cochera semicubierta. BAJO ORD 27/10, art 1, punto 2, inc 2 y 3, Infracción art 5. 27, 37, 129, 144, 151, 178, 179, 181, 182, 202, 226, 233 del CE, Ord 56/07, art 3, inc 2, sub inc 1, Ord 53/07, Ord 130/22 art 20 (retiro)",Fecha de visado invalida para formato AR (dd/mm/aaaa).
74,warning,invalid_ar_date,VISADO,44,"plano conforme, grupo de deptos, BAJO ORD 27/10, art 1, punto 2, inc 2, Infraccion art 10, 27, 37, 144, 151, 179, 182, 191 del CE, Ord 56/07, art 3, inc 1, sub inc a, Ord 53/07",Fecha de visado invalida para formato AR (dd/mm/aaaa).
75,warning,invalid_ar_date,VISADO,44,"local comercial a construir, vivienda unifamiliar demolida",Fecha de visado invalida para formato AR (dd/mm/aaaa).
76,warning,invalid_ar_date,VISADO,44,"local existente, ampliación de local comercial a ejecutar",Fecha de visado invalida para formato AR (dd/mm/aaaa).
77,warning,invalid_ar_date,VISADO,44,"relevamiento de ampliación de vivienda, BAJO ORD 27/10, art 1, punto 2, inc 2, Infraccion art 5, 27, 37, 181, 247 del CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
78,warning,invalid_ar_date,VISADO,44,"tres unidades de bungalows a construir mas la piscina y un deposito, cada vivienda con dos dormitorios, baño, cocina comedor, cocheras descubiertas",Fecha de visado invalida para formato AR (dd/mm/aaaa).
79,warning,invalid_ar_date,VISADO,44,"vivienda unifamiliar de dos dormitorios, baño, cocica comedor estar, lavadero, sin cochera, BAJO ORD 27/10, art 1, punto 2, inc 2, Infraccion art 5, 27, 37, 179, 202, 232 del CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
80,warning,invalid_ar_date,VISADO,44,"vivienda unifamiliar existente y quincho, a declarar piscina",Fecha de visado invalida para formato AR (dd/mm/aaaa).
81,warning,invalid_ar_date,VISADO,44,"relevamiento locales , subsuelo, planta baja con oficinas, sanitarios (uno y uno) patio con parrilla, y entrepiso, BAJO ORD 27/10, art 2, inc 2, Infraccion art 5, 27, 37, 130, 176, 179, 223, 233 y 247 del CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
82,warning,invalid_ar_date,VISADO,44,"plano conforme a obra, relevamiento de ampliaciones realizadas en vivienda unifamiliar (PRO.CRE.AR), dos dormitorios, baño, cocina comedor, cochera descubierta, BAJO ORD 27/10, art 10, 27, 37,  del CE, infraccion ord 130/art 20, (retiro)",Fecha de visado invalida para formato AR (dd/mm/aaaa).
83,warning,invalid_ar_date,VISADO,44,"vivienda a construir, en PB cocina desayunador comedor estar, baño, dormitorio con baño, dos dormitorios, separado atelier con baño",Fecha de visado invalida para formato AR (dd/mm/aaaa).
84,warning,invalid_ar_date,VISADO,44,locales a demoler,Fecha de visado invalida para formato AR (dd/mm/aaaa).
85,warning,invalid_ar_date,VISADO,44,"relevamiento de quincho y piscina, BAJO ORD 27/10, art 1, punto 2, inc 2, Infraccion art 5, 27 , 37 del CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
86,warning,invalid_ar_date,VISADO,44,"galpòn a construir, dos sanitarios cada uno con inodoro y bacha, BAJO ORD 27/10, art 1, punto 2, inc 2, Infraccion art 179 del CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
87,warning,invalid_ar_date,VISADO,44,"relevamiento de galpón, taller, depósito y oficinas, BAJO ORD 27/10, art 1, punto 2, inc 2 y 3, Infraccion art 5, 27, 37, 179 del CE, Infraccion Ord 130/22, art 26, Anexo V (retiro)",Fecha de visado invalida para formato AR (dd/mm/aaaa).
88,warning,invalid_ar_date,VISADO,44,"dos locales a construir en PB, con sanitario minimo",Fecha de visado invalida para formato AR (dd/mm/aaaa).
89,warning,invalid_ar_date,VISADO,44,"relevamiento de vivienda unifamiliar de un dormitorio, cocina comedor, baño, local comercial despensa, BAJO ORD 27/10, art 1, punto 2, inc 2 y 3, Infraccion art 5, 27, 37, 130, 144, 151, 178, 223, 230, 233 del CE , Ord 130/22, art 20, Zona urbana (retiro)",Fecha de visado invalida para formato AR (dd/mm/aaaa).
90,warning,invalid_ar_date,VISADO,44,"cuatro unidades de viviensa a construir, dos apareadas al fondo, dos mas individuales hacia el frente, cada una con dos dormitorios, baño en PA y cocina comedor, toilete y cochera semicubierta en PB",Fecha de visado invalida para formato AR (dd/mm/aaaa).
91,warning,invalid_ar_date,VISADO,44,"vivienda unifamiliar a construir, tres dormitorios, uno en suite con baño y vestidor, baño, cocina desayunador comedor estar, toilete, semicubierto al fondo quincho con parrilla, cochera descubierta",Fecha de visado invalida para formato AR (dd/mm/aaaa).
92,warning,invalid_ar_date,VISADO,44,"demolicion de tanque de reserva de agua del complejo turistico de la CAJA, BAJO Ord 27/10, art 1, punto 1, inc 9, Infraccion art 5, 27, 37 del CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
93,warning,invalid_ar_date,VISADO,44,edificio de departamentos a construir,Fecha de visado invalida para formato AR (dd/mm/aaaa).
94,warning,invalid_ar_date,VISADO,44,"relevamiento de semicubierto ejecutado, resto ya declarado, dos departamenteos y un salón para exposiciones (Museo de los Comabtientes de Malvinas) BAJO ORD 27/10, art 1, punto 2, inc 2 y 3, Infraccion Ord 53/07, Ord 130/22, art 20, art 5, 27, 37, 144, 178, 179, 181, 182, 202, 232, 247, del CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
95,warning,invalid_ar_date,VISADO,44,"relevamietno vivienda unfamiliar, BAJO ORD 27/10, art 1, punto 2, inc 2 y 3, invfraccion art 5, 27, 37, 144, 151, 176, 178, 179, 181, 182, 201, 202, 223, 227, 233 del CE, Ord 56/07, art 3, inc 2,, sub inc 1, Ord 130,22, art 20",Fecha de visado invalida para formato AR (dd/mm/aaaa).
96,warning,invalid_ar_date,VISADO,44,"relevamiento de ampliacion realizada en PB en local comercial ( baño)  y a construir vivienda en PA,   un dormitorio, cocina comedor, baño, Bajo Ord 27/10, art 1, punto 2, inc 2, Infraccion art 5, 27, 37 del CE, Ord 130/22, art 20",Fecha de visado invalida para formato AR (dd/mm/aaaa).
97,warning,invalid_ar_date,VISADO,44,"relevamieno dos unidades de vivienda , una en PB de un dormitorio, lavadero, cocina comedor y baño, otra en PA de un dormitorio, cocina comedor y baño, BAJO ORD 27/10, art 1, punto 2, inc 2 y 3, Infraccion ORD 130/22, art 20, Infraccion art 5, 27, 37, 178, 179, 226 del CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
98,warning,invalid_ar_date,VISADO,44,"relevamiento de vivienda unifamiliar, dos dormitorios, cocina acceso, comedor estar, lavadero, semicubierto cochera doble separado de la vivienda, BAJO ORD 27/10, art 1, punto 2, inc 2, Infraccion art 5, 27, 37, 181, 182, 214, del CE, Infraccion Ord 130/22, art 21, Periurbana (retiro medianera)",Fecha de visado invalida para formato AR (dd/mm/aaaa).
