ID,NCP,SEC,GRU,NMANZ,NPARC,ZONA_ACTIVIDAD,CATEGORIA_TRIBUTARIA_PRELIMINAR,COEFICIENTE,CRITERIO
24388,0100010000000129--021--,0,0,129,21,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24389,0100010163070000--005--,16,307,0,5,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24390,0100010000000736--021--,0,0,736,21,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24391,0100010000000758--018--,0,0,758,18,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24392,0100010000000503--018--,0,0,503,18,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24393,0100010000000758--019--,0,0,758,19,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24394,0100010123240000--033--,12,324,0,33,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24395,0100010000000125--022--,0,0,125,22,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24396,0100010000000375--034--,0,0,375,34,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24397,0100010000000732--019--,0,0,732,19,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24398,0100010000000593--011--,0,0,593,11,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24399,0100010000000447--017--,0,0,447,17,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24400,0100010053130000--006--,5,313,0,6,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24401,0100010053120000--005--,5,312,0,5,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24402,0100010000000486--018--,0,0,486,18,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24403,0100010000000124--021--,0,0,124,21,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24404,0100010000000151--019--,0,0,151,19,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24405,0100010000000691--025--,0,0,691,25,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24406,0100010000000019--023--,0,0,19,23,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24407,0100010000000447--018--,0,0,447,18,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24408,0100010000000045--023--,0,0,45,23,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24409,0100010000000616--017--,0,0,616,17,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24410,0100010190010000--102--,19,1,0,102,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24411,0100010180020000--058--,18,2,0,58,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24412,0100010000000713--021--,0,0,713,21,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24413,0100010190020000--011--,19,2,0,11,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24414,0100010190020000--047--,19,2,0,47,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24415,0100010190020000--012--,19,2,0,12,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24416,0100010190020000--013--,19,2,0,13,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24417,0100010190020000--045--,19,2,0,45,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24418,0100010190020000--014--,19,2,0,14,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24419,0100010190020000--015--,19,2,0,15,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24420,0100010190020000--016--,19,2,0,16,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24421,0100010190020000--009--,19,2,0,9,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24422,0100010190020000--028--,19,2,0,28,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24423,0100010190020000--046--,19,2,0,46,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24424,0100010190020000--010--,19,2,0,10,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24425,0100010190020000--017--,19,2,0,17,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24426,0100010190020000--008--,19,2,0,8,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24427,0100010190020000--043--,19,2,0,43,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24428,0100010190020000--042--,19,2,0,42,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24429,0100010190020000--041--,19,2,0,41,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24430,0100010190020000--040--,19,2,0,40,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24431,0100010190020000--039--,19,2,0,39,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24432,0100010190020000--007--,19,2,0,7,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24433,0100010190020000--038--,19,2,0,38,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24434,0100010190020000--027--,19,2,0,27,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24435,0100010190020000--018--,19,2,0,18,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24436,0100010190020000--036--,19,2,0,36,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24437,0100010190020000--029--,19,2,0,29,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24438,0100010180030000--019--,18,3,0,19,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24439,0100010190020000--006--,19,2,0,6,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24440,0100010190020000--030--,19,2,0,30,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24441,0100010190020000--035--,19,2,0,35,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24442,0100010190020000--044--,19,2,0,44,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24443,0100010190020000--034--,19,2,0,34,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24444,0100010190020000--019--,19,2,0,19,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24445,0100010180030000--022--,18,3,0,22,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24446,0100010180030000--021--,18,3,0,21,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24447,0100010180030000--020--,18,3,0,20,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24448,0100010190020000--005--,19,2,0,5,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24449,0100010190020000--033--,19,2,0,33,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24450,0100010180030000--018--,18,3,0,18,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24451,0100010190020000--020--,19,2,0,20,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24452,0100010190020000--031--,19,2,0,31,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24453,0100010180030000--030--,18,3,0,30,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24454,0100010180030000--017--,18,3,0,17,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24455,0100010180030000--031--,18,3,0,31,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24456,0100010180030000--034--,18,3,0,34,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24457,0100010180030000--023--,18,3,0,23,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24458,0100010180030000--033--,18,3,0,33,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24459,0100010180030000--032--,18,3,0,32,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24460,0100010180030000--016--,18,3,0,16,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24461,0100010180030000--015--,18,3,0,15,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24462,0100010190020000--032--,19,2,0,32,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24463,0100010180030000--014--,18,3,0,14,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24464,0100010180030000--024--,18,3,0,24,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24465,0100010180030000--012--,18,3,0,12,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24466,0100010180030000--035--,18,3,0,35,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24467,0100010190020000--021--,19,2,0,21,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24468,0100010180030000--036--,18,3,0,36,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24469,0100010180030000--037--,18,3,0,37,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24470,0100010190020000--004--,19,2,0,4,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24471,0100010190020000--026--,19,2,0,26,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24472,0100010190010000--028--,19,1,0,28,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24473,0100010180030000--011--,18,3,0,11,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24474,0100010190020000--022--,19,2,0,22,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24475,0100011030000005--001--,103,0,5,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24476,0100011030000006--001--,103,0,6,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24477,0100010190010000--027--,19,1,0,27,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24478,0100011030000015--001--,103,0,15,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24479,0100011030000016--001--,103,0,16,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24480,0100010190020000--025--,19,2,0,25,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24481,0100011030000025--001--,103,0,25,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24482,0100010190020000--023--,19,2,0,23,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24483,0100011030000004--001--,103,0,4,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24484,0100011030000026--001--,103,0,26,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24485,0100010180030000--025--,18,3,0,25,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24486,0100011030000007--001--,103,0,7,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24487,0100011030000035--001--,103,0,35,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24488,0100011030000014--001--,103,0,14,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24489,0100011030000036--001--,103,0,36,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24490,0100010190010000--026--,19,1,0,26,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24491,0100011030000017--001--,103,0,17,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24492,0100011030000044--001--,103,0,44,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24493,0100011030000034--003--,103,0,34,3,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24494,0100011030000024--001--,103,0,24,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24495,0100011030000045--001--,103,0,45,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24496,0100011030000003--001--,103,0,3,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24497,0100010180030000--010--,18,3,0,10,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24498,0100011030000027--001--,103,0,27,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24499,0100011030000034--001--,103,0,34,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24500,0100011030000008--001--,103,0,8,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24501,0100011030000034--002--,103,0,34,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24502,0100010190010000--048--,19,1,0,48,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24503,0100011030000013--001--,103,0,13,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24504,0100010190010000--047--,19,1,0,47,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24505,0100011030000028--004--,103,0,28,4,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24506,0100011030000037--001--,103,0,37,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24507,0100011030000018--001--,103,0,18,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24508,0100011030000043--001--,103,0,43,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24509,0100011030000028--003--,103,0,28,3,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24510,0100011030000033--002--,103,0,33,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24511,0100011030000023--001--,103,0,23,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24512,0100010180030000--009--,18,3,0,9,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24513,0100011030000002--001--,103,0,2,1,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24514,0100010190010000--061--,19,1,0,61,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24515,0100011030000028--001--,103,0,28,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24516,0100011030000009--001--,103,0,9,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24517,0100011030000028--002--,103,0,28,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24518,0100010190020000--024--,19,2,0,24,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24519,0100011030000033--001--,103,0,33,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24520,0100011030000012--001--,103,0,12,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24521,0100010180030000--026--,18,3,0,26,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24522,0100011030001037--001--,103,0,1037,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24523,0100011030000029--003--,103,0,29,3,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24524,0100011030000029--002--,103,0,29,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24525,0100010180030000--005--,18,3,0,5,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24526,0100011030000042--001--,103,0,42,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24527,0100011030000032--004--,103,0,32,4,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24528,0100010180030000--006--,18,3,0,6,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24529,0100010190010000--025--,19,1,0,25,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24530,0100011030000032--003--,103,0,32,3,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24531,0100011030000001--001--,103,0,1,1,ZONA_2,B,0.95,"Fuera de Zona 1, con NMANZ > 0 (proxy de tejido urbano consolidado)"
24532,0100011030000029--001--,103,0,29,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24533,0100010190010000--049--,19,1,0,49,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24534,0100010190010000--029--,19,1,0,29,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24535,0100011030000032--001--,103,0,32,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24536,0100010180030000--007--,18,3,0,7,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24537,0100011030000032--002--,103,0,32,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24538,0100011030000020--001--,103,0,20,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24539,0100011030000041--001--,103,0,41,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24540,0100011030000021--001--,103,0,21,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24541,0100011030000048--001--,103,0,48,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24542,0100010190010000--050--,19,1,0,50,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24543,0100010180030000--008--,18,3,0,8,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24544,0100011030000039--002--,103,0,39,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24545,0100011030000039--001--,103,0,39,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24546,0100011030000040--001--,103,0,40,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24547,0100011030000049--001--,103,0,49,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24548,0100010190010000--060--,19,1,0,60,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24549,0100010180030000--038--,18,3,0,38,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24550,0100010190010000--024--,19,1,0,24,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24551,0100010190010000--023--,19,1,0,23,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24552,0100010180020000--027--,18,2,0,27,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24553,0100010180030000--027--,18,3,0,27,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24554,0100010190010000--030--,19,1,0,30,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24555,0100010180020000--023--,18,2,0,23,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24556,0100010190020000--001--,19,2,0,1,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24557,0100010170040000--019--,17,4,0,19,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24558,0100010180020000--024--,18,2,0,24,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24559,0100010180030000--028--,18,3,0,28,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24560,0100010190010000--046--,19,1,0,46,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24561,0100010190010000--031--,19,1,0,31,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
24562,0100010180020000--025--,18,2,0,25,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24563,0100010180020000--022--,18,2,0,22,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24564,0100010190020000--002--,19,2,0,2,ZONA_1,A,1,Parcela dentro de Zona 1 (proxy de centralidad y mayor nivel de servicios)
24565,0100010190010000--032--,19,1,0,32,ZONA_2,C,0.9,"Fuera de Zona 1, sin NMANZ y con GRU > 0 (proxy periurbano consolidado)"
